name,description
Bachelor of Arts (With Education),MU
Bachelor of Science (Agricultural Economics and Resource Management),MU
Bachelor of Hotels and Hospitality Management,MU
Bachelor of Environmental Studies (Arts),MU
Bachelor of Travel and Tours Operations Management,MU
Bachelor of Arts (Psychology),MU
Bachelor of Science (Microbiology),MU
Bachelor of Arts (Geography),MU
Bachelor of Science (Animal Science),MU
Bachelor of Science (Entrepreneurship Studies),MU
Bachelor of Arts (Kiswahili),MU
Bachelor of Education (Guidance and Counselling),MU
Bachelor of Science (Project Planning and Management),MU
Bachelor of Education (Technology Education),MU
Bachelor of Science (Counselling Psychology),MU
Bachelor of Science (Agricultural Extension Education),MU
Bachelor of Science With Education,MU
Bachelor of Science (Informatics),MU
Bachelor of Sports Management,MU
Bachelor of Science (Communication and Public Relations),MU
Bachelor of Business Management (Civil Aviation Management),MU
"Bachelor of Science (Graphic, Communication and Advertising)",MU
Bachelor of Science (Media Science),MU
Bachelor of Science (Strategic Management),MU
Bachelor of Education (Arts - Business Studies),MU
Bachelor of Science (Medical Psychology),MU
Bachelor of Business Management (Marine Business Management),MU
Bachelor of Science (Physical Therapy),MU
Bachelor of Science (Agricultural Biotechnology),MU
"Bachelor of Arts (Penology, Correction and Administration)",MU
Bachelor of Engineering (Chemical and Process Engineering),MU
Bachelor of Engineering (Industrial and Textile Engineering),MU
Bachelor of Engineering (Civil and Structural Engineering),MU
Bachelor of Engineering (Electrical and Electronics Engineering),MU
"Bachelor of Arts (Linguistics, Media and Communication)",MU
Bachelor of Arts (Economics),MU
Bachelor of Education (Special Needs Education - Secondary Option),MU
Bachelor of Engineering (Electrical and Telecommunication Engineering),MU
Bachelor of Engineering (Mechanical and Production Engineering),MU
Bachelor of Arts,EU
Bachelor of Science (Actuarial Science),EU
Bachelor of Science (Biochemistry),EU
Bachelor of Science (Computer Science),EU
Bachelor of Science,EU
Bachelor of Science (Agricultural Engineering),EU
Bachelor of Science (Agriculture),EU
Bachelor of Science (Food Science & Technology),EU
Bachelor of Veterinary Medicine,EU
Bachelor of Medicine & Bachelor of Surgery,EU
Bachelor of Commerce,EU
Bachelor of Laws (LLB),EU
Bachelor of Education (Arts),EU
Bachelor of Education (Science),EU
Bachelor of Science (Wildlife Enterprises & Management),EU
Bachelor of Science (Statistics),EU
Bachelor of Science (Water and Environmental Engineering),EU
Bachelor of Science in Soil Environment & Land Use Management),EU
Bachelor of Science (Horticulture),EU
Bachelor of Science (Food Nutrition & Dietetics),EU
Bachelor of Science (Biomedical Science & Technology),EU
Bachelor of Arts (Economics & Sociology),EU
Bachelor of Science (Economics & Statistics),EU
Bachelor of Science (Manufacturing Engineering & Technology),EU
Bachelor of Science (Environmental Sciences),EU
Bachelor of Science (Agricultural Economics),EU
Bachelor of Science (Clothing Textile & Interior Design),EU
Bachelor of Science (Ecotourism & Hospitality Management),EU
Bachelor of Science (Instrumentation & Control Engineering),EU
Bachelor of Psychology,EU
Bachelor of Science (Community Development),EU
Bachelor of Procurement and Supply Chain Management,EU
Bachelor of Science (Geography),EU
Bachelor of Science (Animal Science),EU
Bachelor of Arts (Gender),EU
Bachelor of Arts (History & Economics),EU
Bachelor of Science (Dairy Technology & Management),EU
Bachelor of Science (Agriculture & Human Ecology Extension),EU
Bachelor of Science (Applied Aquatic Science),EU
Bachelor of Science (Natural Resources Management),EU
"Bachelor of Science (Dry Land, Agriculture & Enterprise Development)",EU
Bachelor of Science (Agricultural Education & Extension),EU
Bachelor of Science (Integrated Forest Resources Management),EU
Bachelor of Arts in History & International Studies,EU
Bachelor of Agribusiness Management,EU
Bachelor of Science in Animal Health Management,EU
Bachelor of Arts (Sociology & Religion),EU
Bachelor of Quantity Surveying,JKUAT
Bachelor of Science (Actuarial Science),JKUAT
Bachelor of Science (Industrial Chemistry),JKUAT
Bachelor of Science (Biological Sciences),JKUAT
Bachelor of Science (Analytical Chemistry),JKUAT
Bachelor of Science (Computer Science),JKUAT
Bachelor of Science Civil Engineering,JKUAT
Bachelor of Science (Electrical and Electronic Engineering),JKUAT
Bachelor of Science (Mechanical Engineering),JKUAT
Bachelor of Science (B.sc),JKUAT
Bachelor of Science (Agricultural and Biosystems Engineering),JKUAT
Bachelor of Science (Agriculture),JKUAT
Bachelor of Science (Food Science and Technology),JKUAT
Bachelor of Pharmacy,JKUAT
Bachelor of Medicine and Bachelor of Surgery,JKUAT
Bachelor of Commerce,JKUAT
Bachelor of Laws (LLB),JKUAT
Bachelor of Science (Marine Engineering),JKUAT
Bachelor of Economics,JKUAT
Bachelor of Science (Genomic Sciences),JKUAT
Bachelor of Science (Public Administration and Leadership),JKUAT
Bachelor of Science Statistics,JKUAT
Bachelor of Construction Management,JKUAT
Bachelor of Journalism,JKUAT
Bachelor of Science Horticulture,JKUAT
Bachelor of Human Resource Management,JKUAT
Bachelor of Science (Medical Laboratory Sciences),JKUAT
Bachelor of Science (Telecommunication and Information Engineering),JKUAT
Bachelor of Science (Computer Technology),JKUAT
Bachelor of Environmental Science,JKUAT
Bachelor of Science (Biotechnology),JKUAT
Bachelor of Science (Control and Instrumentation),JKUAT
Bachelor of Science (Information Technology),JKUAT
Bachelor of Science (Mechatronic Engineering),JKUAT
Bachelor of Mass Communication,JKUAT
Bachelor of Science (Community Development and Environment),JKUAT
Bachelor of Business Information Technology,JKUAT
Bachelor of Procurement and Contract Management,JKUAT
Bachelor of Supply Chain Management,JKUAT
Bachelor of Science (Innovation Technology Management),JKUAT
Bachelor of Science (Public Management and Development),JKUAT
Bachelor of Science (Food Science and Nutrition),JKUAT
Bachelor of Science (Microbiology),JKUAT
Bachelor of Science (Medical Microbiology),JKUAT
"Bachelor of Science (Animal Health, Production & Processing)",JKUAT
Bachelor of Entrepreneurship,JKUAT
Bachelor of Real Estate,JKUAT
Bachelor of Development Studies,JKUAT
Bachelor of Science (Mathematics and Computer Science),JKUAT
Bachelor of Science (Industrial Mathematics),JKUAT
Bachelor of Science (Project Planning Management),JKUAT
Bachelor of Science (Mining & Mineral Processing Engineering),JKUAT
Bachelor of Science (Electronic and Computer Engineering),JKUAT
Bachelor of Science (Land Resource Planning & Management),JKUAT
Bachelor of Science (Financial Engineering),JKUAT
Bachelor of Landscape Architecture,JKUAT
Bachelor of Science (Environmental Horticulture & Landscaping Technology),JKUAT
Bachelor of Science (Geophysics),JKUAT
Bachelor of Science (Human Nutrition and Dietetics),JKUAT
Bachelor of Science (Community Health and Development),JKUAT
Bachelor of Science (Biochemistry and Molecular Biology),JKUAT
Bachelor of Science (Agribusiness Economics and Food Industry Management),JKUAT
Bachelor of Science (Corporate Communication and Management),JKUAT
Bachelor of Science (Zoology),JKUAT
Bachelor of Science (Applied Biology),JKUAT
Bachelor of Science (Water and Environment Management),JKUAT
Bachelor of Science (Strategic Management),JKUAT
Bachelor of Science (Nutraceutical Science and Technology),JKUAT
Bachelor of Science (Renewable Energy and Environmental Physics),JKUAT
Bachelor of Science in Fisheries and Aquaculture,JKUAT
Bachelor of Science (Operations Research),JKUAT
Bachelor of Science (Business Computing),JKUAT
Bachelor of Science (Health Records and Informatics),JKUAT
Bachelor of Science Clinical Medicine,JKUAT
Bachelor of Physiotherapy,JKUAT
Bachelor of Radiography,JKUAT
Bachelor of Science (Applied Bioengineering),JKUAT
Bachelor of Architectural Technology,JKUAT
Bachelor of Science (Medical Biochemistry),JKUAT
Bachelor of Science (Agricultural Economics and Rural Development),JKUAT
Bachelor of Science (Geomatic Engineering and Geospatial Information Systems),JKUAT
Bachelor of Science (Biostatistics),JKUAT
Bachelor of Science (Food Service and Hospitality Management),JKUAT
Bachelor of Science (Geospatial Information Science),JKUAT
Bachelor of Science Industrial Biotechnology,JKUAT
Bachelor of Science Agribusiness Management and Enterprise Development,JKUAT
Bachelor of Arts (With IT),MSU
"Bachelor of Science (Actuarial Science, With IT)",MSU
"Bachelor of Science (Industrial Chemistry, With IT)",MSU
"Bachelor of Science (Mathematical Sciences, With IT)",MSU
Bachelor of Science (Computer Science),MSU
"Bachelor of Science (Basic Science, With IT)",MSU
Bachelor of Medicine and Bachelor of Surgery (With IT),MSU
"Bachelor of Science (Nursing, With IT)",MSU
"Bachelor of Education (Arts, With IT)",MSU
"Bachelor of Arts (Criminology, With IT)",MSU
"Bachelor of Education (Science, With IT)",MSU
Bachelor of Business Administration (With IT),MSU
"Bachelor of Education (Special Needs Education, With IT)",MSU
Bachelor of Science (Information and Communication Technology),MSU
"Bachelor of Arts (Music, With IT)",MSU
"Bachelor of Education (Music, With IT)",MSU
"Bachelor of Science (Applied Statistics, With IT)",MSU
"Bachelor of Education (French, With IT)",MSU
"Bachelor of Arts (Drama and Theatre Studies, With IT)",MSU
"Bachelor of Education (Early Childhood Education, With IT)",MSU
"Bachelor of Science (Horticulture, With IT)",MSU
"Bachelor of Science (Agribusiness Management, With IT)",MSU
"Bachelor of Science (Nutrition and Dietetics, With IT)",MSU
"Bachelor of Science (Medical Laboratory Sciences, With IT)",MSU
Bachelor of Science (Computer Technology),MSU
"Bachelor of Science (Earth Science, With IT)",MSU
"Bachelor of Science (Environmental Science, With IT)",MSU
"Bachelor of Science (Agricultural Economics, With IT)",MSU
"Bachelor of Arts (Textiles, Apparel Design and Fashion Merchandising, With IT)",MSU
"Bachelor of Science (Eco-tourism, Hotel and Institution Management, With IT)",MSU
Bachelor of Science (Information Technology),MSU
Bachelor of Psychology (With IT),MSU
"Bachelor of Arts (French, With IT)",MSU
"Bachelor of Science (Animal Science, With IT)",MSU
"Bachelor of Arts (International Relations and Diplomacy ,With IT)",MSU
"Bachelor of Arts (Gender Studies, With IT)",MSU
"Bachelor of Arts (Development Studies, With IT)",MSU
Bachelor of Science (Mathematics & Computer Science),MSU
"Bachelor of Arts (Interior Design, With IT)",MSU
"Bachelor of Arts (Kiswahili, With IT)",MSU
"Bachelor of Arts (Communication & Media Technology, With IT)",MSU
"Bachelor of Science (Agriculture Education and Extension, With IT)",MSU
"Bachelor of Arts (Religion, With IT)",MSU
"Bachelor of Arts (Theology, With IT)",MSU
"Bachelor of Science (Soil Science, With IT)",MSU
"Bachelor of Arts (Fine Art, With IT)",MSU
"Bachelor of Science (Fisheries and Aquaculture, With IT)",MSU
"Bachelor of Arts (History and Archaeology, With IT)",MSU
"Bachelor of Arts (Literature, With IT)",MSU
"Bachelor of Arts (Disaster Management, With IT)",MSU
"Bachelor of Arts (Political Science, With IT)",MSU
"Bachelor of Arts (Philosophy, With IT)",MSU
"Bachelor of Arts (Business Studies, With IT)",MSU
"Bachelor of Science (Mathematics & Economics, With IT",MSU
"Bachelor of Science (Aquatic Resources Conservation and Development, With IT)",MSU
"Bachelor of Science (Climate Change and Development, With IT)",MSU
"Bachelor of Science (Medical Biotechnology, With IT)",MSU
"Bachelor of Science (Pharmaceutical Sciences, With IT)",MSU
"Bachelor of Science (Agronomy, With IT)",MSU
