name,description
Bachelor of Education (Arts),PU
Bachelor of Education (Science),PU
Bachelor of Education (Special Needs Education),PU
Bachelor of Science (Tourism Management),PU
Bachelor of Arts (French),PU
Bachelor of Arts (German),PU
Bachelor of Arts in Community Development,PU
Bachelor of Education (Early Childhood Education),PU
Bachelor of Science (Horticultural Science & Management),PU
Bachelor of Science (Agribusiness Management & Trade),PU
Bachelor of Science in Environmental Health,PU
Bachelor of Environmental Science,PU
Bachelor of Science in Agricultural Resource Management,PU
Bachelor of Science in Hospitality Management,PU
Bachelor of Environmental Studies (Community Development),PU
Bachelor of Arts (Psychology),PU
Bachelor of Science (Microbiology),PU
Bachelor of Science (Animal Production & Health Management),PU
Bachelor of Science (Geography),PU
Bachelor of Environmental Planning & Management,PU
Bachelor of Arts (Kiswahili),PU
Bachelor of Science (Physics),PU
Bachelor of Science (Dryland Agriculture),PU
Bachelor of Science (Agriculture and Enterprise Development),PU
Bachelor of Science (Agriculture Education and Extension),PU
Bachelor of Arts (Religious Studies),PU
Bachelor of Science (Zoology),PU
Bachelor of Science (Chemistry),PU
Bachelor of Arts (History and Archaeology),PU
Bachelor of Arts (Literature),PU
Bachelor of Science (Marine Biology & Fisheries),PU
Bachelor of Arts (English & Communication),PU
Bachelor of Arts (Philosophy),PU
Bachelor of Arts in History & International Studies,PU
Bachelor of Arts (Economics),PU
Bachelor of Arts (Sociology),PU
Bachelor of Arts,CU
Bachelor of Science (Biochemistry),CU
Bachelor of Science (Computer Science),CU
Bachelor of Science,CU
Bachelor of Science (Agriculture),CU
Bachelor of Science (Food Science & Technology),CU
Bachelor of Science (Nursing),CU
Bachelor of Commerce,CU
Bachelor of Education (Arts),CU
Bachelor of Arts (Criminology & Security Studies),CU
Bachelor of Education (Science),CU
Bachelor of Science (Wildlife Enterprise Management),CU
Bachelor of Science (Horticulture),CU
Bachelor of Science (Biomedical Science and Technology),CU
Bachelor of Arts (Economics & Sociology),CU
Bachelor of Science (Economics & Statistics),CU
Bachelor of Science (Environmental Science),CU
Bachelor of Science (Agricultural Economics),CU
Bachelor of Tourism & Hotel Management,CU
Bachelor of Science (Ecotourism & Hospitality Management),CU
Bachelor of Library and Information Studies,CU
Bachelor of Psychology,CU
Bachelor of Science (Community Development),CU
Bachelor of Purchasing & Supplies Management,CU
Bachelor of Agribusiness Management,CU
Bachelor of Science (Animal Science),CU
Bachelor of Entreprenuership & Small Business Management,CU
Bachelor of Science (Natural Resources Management),CU
Bachelor of Arts (Communication & Media),CU
Bachelor of Catering & Hotel Management,CU
Bachelor of Science (Applied Computer Science),CU
Bachelor of Science (Agricultural Education and Extension),CU
Bachelor of Co-operative Management,CU
Bachelor of Education (Early Childhood Development Education),CU
Bachelor of Arts,KSU
Bachelor of Actuarial Science,KSU
Bachelor of Science (Industrial Chemistry),KSU
Bachelor of Science in Biology (Botany or Zoology Option),KSU
Bachelor of Science (Biochemistry),KSU
Bachelor of Science (Analytical Chemistry),KSU
Bachelor of Science in Computer Science,KSU
Bachelor of Science,KSU
Bachelor of Science in Agriculture,KSU
Bachelor of Commerce,KSU
Bachelor of Laws (LL.B.),KSU
Bachelor of Education (Arts),KSU
Bachelor of Arts (Criminology and Security Studies),KSU
Bachelor of Education (Science),KSU
Bachelor of Business and Management,KSU
Bachelor of Secretarial Management and Administration,KSU
Bachelor of Arts (Public Administration),KSU
Bachelor of Science (Applied Statistics),KSU
Bachelor of Arts (Community Development),KSU
Bachelor of Human Resource Management,KSU
Bachelor of Science in Food Nutrition and Dietetics,KSU
Bachelor of Science in Medical Laboratory Sciences,KSU
Bachelor of Science in Biomedical Sciences & Technology,KSU
Bachelor of Arts (Economics and Sociology),KSU
Bachelor of Economics and Statistics,KSU
Bachelor of Science in Environmental Science,KSU
Bachelor of Science in Agricultural Economics,KSU
Bachelor of Eco-tourism and Hospitality Management,KSU
Bachelor of Science (Biotechnology),KSU
Bachelor of Library and Information Studies,KSU
Bachelor of Travel and Tours Operations Management,KSU
Bachelor of Information Technology,KSU
Bachelor of Purchasing and Supplies Management,KSU
Bachelor of Science (Microbiology),KSU
Bachelor of Arts (Geography),KSU
Bachelor of Science in Animal Science & Technology,KSU
Bachelor of Entrepreneurship and Small Business,KSU
Bachelor of Arts (Gender and Development Studies),KSU
Bachelor of Science (Mathematics and Computing),KSU
Bachelor of Arts in Kiswahili,KSU
Bachelor of Arts in Counseling Psychology,KSU
Bachelor of Science (Applied Aquatic Science),KSU
Bachelor of Science in Natural Resource Management,KSU
Bachelor of Arts (Communication and Media),KSU
Bachelor of Catering and Hotel Management,KSU
Bachelor of Science in Applied Computer Science,KSU
Bachelor of Science in Agricultural Education & Extension,KSU
Bachelor of Science in Community Health and Development,KSU
Bachelor of Science (Biometry and Informatics),KSU
Bachelor of Science (Cellular and Molecular Biology),KSU
Bachelor of Arts (Religious Studies),KSU
Bachelor of Co-operative Management,KSU
"Bachelor of Science Chemistry (Inorganic, Physical and Organic Options)",KSU
Bachelor of Science in Fisheries and Aquaculture,KSU
Bachelor of Arts (Linguistic),KSU
Bachelor of Arts (Applied Linguistics),KSU
Bachelor of Arts (History),KSU
Bachelor of Arts (Literature),KSU
Bachelor of Science (Renewable Energy),KSU
Bachelor of Science in Software Engineering,KSU
Bachelor of Science (Environmental Chemistry),KSU
Bachelor of Science (Natural Products),KSU
Bachelor of Science (Petroleum Chemistry),KSU
Bachelor of Arts (Translation and Interpretation),KSU
Bachelor of Science (Geophysical and Mineralogy),KSU
Bachelor of Science (Waste Management),KSU
Bachelor of Arts (Peace Education,KSU
Bachelor of Science (Conservation Biology),KSU
Bachelor of Science (Agricultural Economics and Rural Development),KSU
Bachelor of Business Information and Management,KSU
Bachelor of Science in Agribusiness Mangement,KSU
Bachelor of Science (Laboratory Sciences),KSU
Bachelor of Arts (Sociology and Social Work),KSU
"Bachelor of Science in Mathematics (Pure Mathematics, Applied Mathematics and Statistics)",KSU
Bachelor of Science in Public Health,KSU
Bachelor of Science (Forensic Biology),KSU
Bachelor of Education (Early Childhood Development),KSU
Bachelor of Science (Mathematics),MMU
Bachelor of Science (Computer Science),MMU
Bachelor of Commerce,MMU
Bachelor of Education (Arts),MMU
Bachelor of Arts (Criminology and Penology),MMU
Bachelor of Education (Science),MMU
Bachelor of Science (Wildlife Management),MMU
Bachelor of Arts (Social Work),MMU
Bachelor of Science in Economics,MMU
Bachelor of Science (Information Science),MMU
Bachelor of Education (Arts) With Special Needs Education,MMU
Bachelor of Tourism Management,MMU
Bachelor of Science (Applied Statistics With Computing),MMU
Bachelor of Arts (Community Development),MMU
Bachelor of Communication & Journalism,MMU
Bachelor of Science (Human Resource Management),MMU
Bachelor of Science (Agricultural Economics & Resource Management),MMU
Bachelor of Hotels and Hospitality Management,MMU
Bachelor of Agribusiness Management,MMU
Bachelor of Arts (Geography),MMU
Bachelor of Science (Animal Health & Production),MMU
Bachelor of Science in Entrepreneurship,MMU
Bachelor of Education (Arts) With Guidance and Counselling,MMU
Bachelor of Science (Project Planning and Management),MMU
Bachelor of Education (Science) With Special Needs Education,MMU
Bachelor of Education (Science) With Guidance and Counseling,MMU
Bachelor of Science in Financial Economics,MMU
Bachelor of Science Econometrics and Statistics,MMU
Bachelor of Environmental Studies (Biology and Health),MMU
Bachelor of Environmental Studies (Earth Sciences),MMU
Bachelor of Urban and Regional Planning,MMU
"Bachelor of Science in Parks, Recreation and Leisure Management",MMU
Bachelor of Science (Physics),MMU
Bachelor of Science in Forestry Ecosystem Management,MMU
Bachelor of Arts in Kiswahili and Media Studies,MMU
Bachelor of Arts in Religion,MMU
Bachelor of Arts in Philosophy,MMU
Bachelor of Arts in Language and Communication,MMU
"Bachelor of Arts in Literature, Theatre and Film",MMU
Bachelor of Communication & Public Relations,MMU
Bachelor of Science (Botany),MMU
Bachelor of Science (Zoology),MMU
Bachelor of Science (Chemistry),MMU
Bachelor of Arts (History),MMU
Bachelor of Arts (Political Science & Public Administration),MMU
Bachelor of Education (Early Childhood Development Education),MMU
Bachelor of Arts (Sociology),MMU
Bachelor of Science (Environmental Management),MMU
Bachelor of Science (Actuarial Science),MUST
Bachelor of Science in Computer Science,MUST
Bachelor of Science (Science),MUST
Bachelor of Science (Agriculture),MUST
Bachelor of Science (Food Science and Technology),MUST
Bachelor of Science (Nursing),MUST
Bachelor of Commerce (B.Com),MUST
Bachelor of Education (Science),MUST
Bachelor of Science in Economics,MUST
Bachelor of Science in Information Science,MUST
Bachelor of Business Administration,MUST
Bachelor of Science Statistics,MUST
Bachelor of Science Horticulture,MUST
Bachelor of Science Agribusiness Management,MUST
Bachelor of Science in Computer Technology,MUST
Bachelor of Science in Information Technology,MUST
Bachelor of Business Information Technology,MUST
Bachelor of Purchasing and Supplies Management,MUST
Bachelor of Science (Animal Health and Production),MUST
Bachelor of Science (Mathematics & Computer Science),MUST
Bachelor of Science (Human Nutrition and Dietetics),MUST
Bachelor of Science Agricultural Extension and Education,MUST
Bachelor of Science (Community Health & Development),MUST
Bachelor of Co-operative Management,MUST
Bachelor of Science in Computer Security and Forensics,MUST
Bachelor of Health Services Management,MUST
Bachelor of Science (Food Science and Management),MUST
Bachelor of Science (Public Health),MUST
Bachelor of Arts,SEKU
Bachelor of Science (Actuarial Science),SEKU
Bachelor of Science (Mathematics),SEKU
Bachelor of Science (Meteorology),SEKU
Bachelor of Science (Biology),SEKU
Bachelor of Science (Geology),SEKU
Bachelor of Science (Computer Science),SEKU
Bachelor of Science (Agriculture),SEKU
Bachelor of Science (Range Management),SEKU
Bachelor of Commerce,SEKU
Bachelor of Education (Arts),SEKU
Bachelor of Education (Science),SEKU
Bachelor of Arts (Social Work),SEKU
Bachelor of Economics,SEKU
Bachelor of Science (Statistics),SEKU
Bachelor of Science (Horticulture),SEKU
Bachelor of Science (Environmental Conservation and Natural Resources Management),SEKU
Bachelor of Science (Food Nutrition and Dietetics),SEKU
Bachelor of Economics and Statistics,SEKU
Bachelor of Information Technology,SEKU
Bachelor of Business Information Technology,SEKU
Bachelor of Procurement and Supply Chain Management,SEKU
Bachelor of Arts (Gender and Development Studies),SEKU
Bachelor of Science (Project Planning Management),SEKU
Bachelor of Science (Forestry),SEKU
Bachelor of Science (Applied Aquatic Science),SEKU
Bachelor of Science (Land Resource Management),SEKU
Bachelor of Science (Physics),SEKU
Bachelor of Science (Dryland Agriculture),SEKU
Bachelor of Science in Agricultural Education & Extension,SEKU
Bachelor of Science (Biochemistry and Molecular Biology),SEKU
Bachelor of Science (Hydrology and Water Resources Management),SEKU
Bachelor of Science (Dryland Animal Science),SEKU
Bachelor of Science (Electronics),SEKU
Bachelor of Science (Chemistry),SEKU
Bachelor of Science (Fisheries Management and Aquaculture Technology),SEKU
Bachelor of Science (Population Health),SEKU
Bachelor of Science (Public Health),SEKU
Bachelor of Science Agribusiness Management and Enterprise Development,SEKU
Bachelor of Science (Environmental Management),SEKU
Bachelor of Science (Actuarial Science With IT),JOOUST
Bachelor of Science (Biological Sciences),JOOUST
Bachelor of Education (Arts) With IT,JOOUST
Bachelor of Education (Science With IT),JOOUST
Bachelor of Business Administration With IT,JOOUST
"Bachelor of Education (Special Needs Education, With IT)",JOOUST
Bachelor of Science (Horticulture),JOOUST
Bachelor of Science (Agribusiness Management),JOOUST
Bachelor of International Tourism Management,JOOUST
Bachelor of Logistics and Supply Chain Management,JOOUST
Bachelor of Science (Animal Science),JOOUST
Bachelor of Science (Agricultural Extension Education),JOOUST
Bachelor of Science (Community Health and Development),JOOUST
Bachelor of Science (Soil Science),JOOUST
Bachelor of Science (Food Security),JOOUST
Bachelor of Arts (Spatial Planning),JOOUST
Bachelor of Science (Water Resources and Environment),JOOUST
Bachelor of Science (Computer Security and Forensics),JOOUST
Bachelor of Science (Business Information Systems),JOOUST
Bachelor of Arts (Developmental and Policy Studies),JOOUST
Bachelor of Science (Renewable Energy Technology and Management),JOOUST
Bachelor of Science (Public Health),JOOUST
Bachelor of Science (Information and Communication Technology),JOOUST
Bachelor of Science (Construction Management),JOOUST
Bachelor of Education (Early Childhood Development),JOOUST
Bachelor of Science (Actuarial Science),UOK
Bachelor of Science (Biochemistry),UOK
Bachelor of Science (Computer Science),UOK
Bachelor of Science (Bsc.),UOK
Bachelor of Science (Agriculture),UOK
Bachelor of Science (Microbiology),UOK
Bachelor of Science (Nursing),UOK
Bachelor of Education (Arts),UOK
Bachelor of Education (Science),UOK
Bachelor of Science (Information Sciences and Knowledge Management),UOK
Bachelor of Business Management,UOK
Bachelor of Tourism Management,UOK
Bachelor of Arts (Public Administration),UOK
Bachelor of Science (Applied Statistics With Computing),UOK
Bachelor of Science (Agroforestry & Rural Development),UOK
Bachelor of Science (Horticulture),UOK
Bachelor of Science (Environmental Health),UOK
Bachelor of Science (Human Resource Management),UOK
Bachelor of Science (Agricultural Economics & Resource Management),UOK
Bachelor of Hotels and Hospitality Management,UOK
Bachelor of Environmental Studies,UOK
Bachelor of Science (Information Technology),UOK
Bachelor of Education (Guidance and Counselling),UOK
Bachelor of Science (Forestry),UOK
Bachelor of Science (Agricultural Extension Education),UOK
Bachelor of Science (Communication and Public Relations),UOK
Bachelor of Science Clinical Medicine,UOK
Bachelor of Arts (Economics),UOK
Bachelor of Education (Early Childhood and Primary Education),UOK
Bachelor of Science in Actuarial Science,MMUK
Bachelor of Science in Industrial Chemistry,MMUK
Bachelor of Science in Analytical Chemistry,MMUK
Bachelor of Science in Computer Science,MMUK
Bachelor of Commerce,MMUK
Bachelor of Journalism,MMUK
Bachelor of Science (Telecommunication and Information Engineering),MMUK
Bachelor of Science (Computer Technology),MMUK
Bachelor of Science in Mechanical and Manufacturing Engineering,MMUK
Bachelor of Science in Information Technology,MMUK
Bachelor of Business Information Technology,MMUK
Bachelor of Science in Electrical and Telecommunication Engineering,MMUK
Bachelor of Procurement and Logistics Management,MMUK
Bachelor of Science in Mathematics and Computer Science,MMUK
Bachelor of Applied Communication,MMUK
Bachelor of Science in Applied Physics and Computer Science,MMUK
Bachelor of Science in Software Engineering,MMUK
Bachelor of Science in Applied Optics and Lasers,MMUK
Bachelor of Science in Renewable Energy and Technology,MMUK
Bachelor of Film Animation,MMUK
Bachelor of Science (Computer Science,LU
Bachelor of Science,LU
Bachelor of Commerce (B.Com),LU
Bachelor of Education (Arts),LU
Bachelor of Arts (Criminology and Security Studies),LU
Bachelor of Education (Science),LU
Bachelor of Science (Information and Communication Technology),LU
Bachelor of Science (Statistics),LU
Bachelor of Arts (Economics and Sociology),LU
Bachelor of Science (Economics and Statistics),LU
Bachelor of Science (Environmental Science),LU
Bachelor of Science (Agricultural Economics,LU
Bachelor of Library and Information Science,LU
Bachelor of Psychology,LU
Bachelor of Science (Community Development),LU
Bachelor of Science (Geography),LU
Bachelor of Arts (Kiswahili and Communication),LU
Bachelor of Arts (History and Economics),LU
Bachelor of Arts (Communication and Media),LU
Bachelor of Agricultural Education & Extension,LU
Bachelor of Sports Science & Management,LU
Bachelor of Arts (Peace Education,LU
Bachelor of Science (Utilization & Sustainability of Arid Lands (Usal),LU
Bachelor of Arts (English & Communication),LU
Bachelor of Agribusiness Management,LU
Bachelor of Education (Early Childhood Development),LU
Bachelor of Science in Actuarial Science,KARU
Bachelor of Science in Biochemistry,KARU
Bachelor of Science in Computer Science,KARU
Bachelor of Science,KARU
Bachelor of Education (Arts),KARU
"Bachelor of Arts in Criminology, Criminal Justice and Public Safety",KARU
Bachelor of Education (Science),KARU
Bachelor of Economics,KARU
Bachelor of Science in Information Sciences,KARU
Bachelor of Business Management,KARU
Bachelor of Tourism Management,KARU
Bachelor of Science in Applied Statistics With Computing,KARU
Bachelor of Arts in Community Development,KARU
Bachelor of Science in Horticultural Science & Management,KARU
Bachelor of Human Resources Management,KARU
Bachelor of Science in Food Science and Nutrition,KARU
Bachelor of Science in Environmental Studies,KARU
Bachelor of Science in Agricultural Resource Economics and Management,KARU
Bachelor of Hotel and Hospitality Management,KARU
Bachelor of Science in Information Technology,KARU
Bachelor of Science in Microbiology,KARU
Bachelor of Arts (Geography),KARU
Bachelor of Science in Entrepreneurship,KARU
Bachelor of Project Planning and Management,KARU
Bachelor of Science in Natural Resources,KARU
Bachelor of Science in Human Nutrition and Dietetics,KARU
Bachelor of Science in Agricultural Extension Education,KARU
Bachelor of Science With Education,KARU
Bachelor of Communication and Public Relations,KARU
Bachelor of Science in Aquaculture and Fisheries Technology,KARU
Bachelor of Arts in Political Science and Public Administration,KARU
Bachelor of Arts in Sociology,KARU
Bachelor of Science in Actuarial Science,UOE
Bachelor of Science in Biochemistry,UOE
Bachelor of Science in Analytical Chemistry With Computing,UOE
Bachelor of Science in Computer Science,UOE
Bachelor of Science (B.sc),UOE
Bachelor of Engineering (Agricultural & Bio-systems Engineering),UOE
Bachelor of Science (Agriculture),UOE
Bachelor of Education (Arts),UOE
Bachelor of Education (Science),UOE
Bachelor of Science (Wood Science and Industrial Processes),UOE
Bachelor of Science (Wildlife Management),UOE
Bachelor of Business Management,UOE
Bachelor of Education (Special Needs Education),UOE
Bachelor of Tourism Management,UOE
Bachelor of Science in Applied Statistics With Computing,UOE
Bachelor of Science (Agroforestry & Rural Development),UOE
Bachelor of Science (Horticultural Science & Management),UOE
Bachelor of Science (Food Science & Nutrition),UOE
Bachelor of Environmental Studies (Science),UOE
Bachelor of Science (Agricultural Economics),UOE
Bachelor of Science (Apparel & Fashion Technology),UOE
Bachelor of Hotel & Hospitality Management,UOE
Bachelor of Environmental Studies (Arts),UOE
Bachelor of Science in Information Technology,UOE
Bachelor of Travel & Tours Operations Management,UOE
Bachelor of Science in Microbiology,UOE
Bachelor of Science (Animal Science & Management),UOE
Bachelor of Science (Entrepreneurship),UOE
Bachelor of Education (Physical Education),UOE
Bachelor of Science (Project Planning Management),UOE
Bachelor of Science (Forestry),UOE
Bachelor of Education (Technology),UOE
Bachelor of Science (Natural Resource Management),UOE
Bachelor of Science (Food Operations Management),UOE
Bachelor of Science (Seed Science & Technology,UOE
Bachelor of Science (Soils & Land Use Management),UOE
Bachelor of Science in Applied Animal Laboratory Science,UOE
Bachelor of Science in Biotechnology and Biosafety,UOE
Bachelor of Science in Entomology and Parasitology,UOE
Bachelor of Science in Ethnobotany,UOE
Bachelor of Education (Home Science and Technology),UOE
Bachelor of Science (Agricultural Extension Education),UOE
Bachelor of Education (Agricultural Education),UOE
Bachelor of Science With Education,UOE
Bachelor of Science in Informatics,UOE
Bachelor of Science (Water Resource Management),UOE
Bachelor of Science (Fisheries & Aquatic Sciences),UOE
Bachelor of Science (Sustainable Energy & Climate Change Systems),UOE
Bachelor of Science (Agricultural Biotechnology),UOE
Bachelor of Engineering (Civil & Structural Engineering),UOE
Bachelor of Arts (Economics),UOE
Bachelor of Education (Early Childhood & Primary Education),UOE
Bachelor of Engineering (Mechanical & Production Engineering),UOE
Bachelor of Science (Mathematics),KBBU
Bachelor of Science (Biology),KBBU
Bachelor of Science (Computer Science),KBBU
Bachelor of Commerce,KBBU
Bachelor of Education (Arts),KBBU
Bachelor of Criminology,KBBU
Bachelor of Education (Science),KBBU
Bachelor of Social Work,KBBU
Bachelor of Business Management,KBBU
Bachelor of Journalism and Mass Communication,KBBU
Bachelor of Science (Agricultural Economics and Resource Management),KBBU
Bachelor of Science (Information Technology),KBBU
Bachelor of Science (Physics),KBBU
Bachelor of Science (Agricultural Education & Extension),KBBU
Bachelor of Science (Chemistry),KBBU
Bachelor of Science (Renewable Energy and Biofuels Technology),KBBU
Bachelor of Science (Bio-resources Management and Conservation),KBBU
Bachelor of Science (Agriculture & Biotechnology),KBBU
Bachelor of Education (Early Childhood),KBBU
Bachelor of Commerce (B.Com),TTUC
Bachelor of Science (Statistics),TTUC
Bachelor of Science (Horticulture),TTUC
Bachelor of Science (Information Technology),TTUC
Bachelor of Business Information Technology,TTUC
Bachelor of Purchasing and Supplies Management,TTUC
Bachelor of Science (Mathematics and Computer Science),TTUC
Bachelor of Science (Mining and Mineral Processing Engineering),TTUC
Bachelor of Commerce,MRUC
Bachelor of Science (Criminology and Security Studies),MRUC
Bachelor of Science (Tourism Management),MRUC
Bachelor of Science (Applied Statistics With Programming),MRUC
Bachelor of Science (Human Resource Management),MRUC
Bachelor of Science in Information Technology,MRUC
Bachelor of Business Information Technology,MRUC
Bachelor Purchasing and Supplies Management,MRUC
Bachelor of Science (Entrepreneurship and Small Enterprises Management),MRUC
Bachelor of Science (Mathematics and Computer Science),MRUC
Bachelor of Science in Software Engineering,MRUC
Bachelor of Science (Mathematics and Economics),MRUC
Bachelor of Science (Hospitality Management),MRUC
Bachelor of Science (Nursing),KYUC
Bachelor of Commerce,KYUC
Bachelor of Business Management,KYUC
Bachelor of Science (Statistics),KYUC
Bachelor of Science (Human Resource Management),KYUC
Bachelor of Science (Fashion Design and Textile Technology),KYUC
Bachelor of Science in Information Technology,KYUC
Bachelor of Entrepreneurship,KYUC
Bachelor of Science (Entrepreneurship),KYUC
Bachelor of Science in Mathematics and Computer Science,KYUC
Bachelor of Science (Community Health & Development),KYUC
Bachelor of Science Clinical Medicine,KYUC
Bachelor of Science (Forensic Science),KYUC
Bachelor of Commerce (B.Com),COPUCK
Bachelor of Co-operatives and Community Development,COPUCK
Bachelor of Science (Finance),COPUCK
Bachelor of Science (Disaster Risk Management and Sustainable Development),COPUCK
Diploma in Accounting & Finance,COPUCK
Bachelor of Co-operative Business,COPUCK
Diploma in Marketing,COPUCK
Diploma in Catering and Hotel Management,COPUCK
Diploma in Project Management,COPUCK
Diploma in Banking & Finance,COPUCK
Diploma in Purchasing and Supplies Management,COPUCK
Diploma in Business Administration,COPUCK
Diploma in Leadership and Management,COPUCK
Diploma in Business Information Technology,COPUCK
Diploma in Tourism Management,COPUCK
Diploma in Community Development,COPUCK
Diploma in Human Resource Management,COPUCK
Diploma in Co-operative Management,COPUCK
Diploma in Micro-finance,COPUCK
Diploma in Public Relations,COPUCK
Diploma in Information Technology,COPUCK
Diploma in Entrepreneurship,COPUCK
Bachelor of Science (Mathematics),GUC
Bachelor of Science in Computer Science,GUC
Bachelor of Science,GUC
Bachelor of Education (Arts),GUC
Bachelor of Education (Science),GUC
Bachelor of Science in Information Sciences,GUC
Bachelor of Business Management,GUC
Bachelor of Arts Community Development,GUC
Bachelor of Science (Human Resource Management),GUC
Bachelor of Arts (Geography),GUC
Bachelor of Science (Physics),GUC
Bachelor of Science (Botany),GUC
Bachelor of Science (Zoology),GUC
Bachelor of Science (Chemistry),GUC
Bachelor of Arts in Economics,GUC
Bachelor of Science (Mathematics),RUC
Bachelor of Science (Biochemistry),RUC
Bachelor of Science (Computer Science),RUC
Bachelor of Science (Agriculture),RUC
Bachelor of Education (Arts),RUC
Bachelor of Education (Science),RUC
Bachelor of Science (Information Science),RUC
Bachelor of Business Management,RUC
Bachelor of Education in Special Education,RUC
Bachelor of Tourism Management,RUC
Bachelor of Science (Applied Statistics),RUC
Bachelor of Science (Communication & Journalism),RUC
Bachelor of Science (Horticulture),RUC
Bachelor of Science in Human Reource Management,RUC
Bachelor of Science (Environmental Science),RUC
Bachelor of Science (Agricultural Economics & Resource Management),RUC
Bachelor of Science (Fashion Design and Textile Technology),RUC
Bachelor of Hotel and Hospitality Management,RUC
Bachelor of Science (Microbiology),RUC
Bachelor of Arts (Geography),RUC
Bachelor of Arts (International Relations and Diplomacy),RUC
Bachelor of Science (Entrepreneurship),RUC
Bachelor of Arts (Kiswahili),RUC
Bachelor of Project Planning and Management,RUC
Bachelor of Science (Physics),RUC
Bachelor of Science (Agricultural Extension and Education),RUC
Bachelor of Science (Informatics),RUC
Bachelor of Science (Comm. & Public Relations),RUC
"Bachelor of Science (Graphic, Comm. & Advertising)",RUC
Bachelor of Science (Chemistry),RUC
Bachelor of Arts (Linguistic),RUC
Bachelor of Arts (Political Science and Public Administration),RUC
Bachelor of Science (Agribusiness),RUC
"Bachelor of Arts (Linguistics, Media and Communication)",RUC
Bachelor of Arts (Economics),RUC
Bachelor of Education (Early Childhood & Primary Education),RUC
Bachelor of Arts (Sociology),RUC
Bachelor of Science (Industrial Chemistry),EUC
Bachelor of Science (Biology),EUC
Bachelor of Science (Analytical Chemistry),EUC
Bachelor of Science (Computer Science),EUC
Bachelor of Science (Bsc.),EUC
Bachelor of Science (Agriculture),EUC
Bachelor of Science (Range Management),EUC
Bachelor of Commerce,EUC
Bachelor of Education (Arts),EUC
Bachelor of Education (Science),EUC
Bachelor of Economics,EUC
Bachelor of Science (Statistics),EUC
Bachelor of Science (Management of Agro-ecosystem and Environment),EUC
Bachelor of Science (Horticulture),EUC
Bachelor of Science (Environmental Conservation and Natural Resources Management),EUC
Bachelor of Science (Agribusiness Management),EUC
Bachelor of Science (Microbiology and Biotechnology),EUC
Bachelor of Science (Physics),EUC
Bachelor of Science (Agricultural Education and Extension),EUC
Bachelor of Science (Water Resource Management),EUC
Bachelor of Arts,MCKUC
Bachelor of Science (Mathematics),MCKUC
Bachelor of Science in Biology,MCKUC
Bachelor of Science (Computer Science),MCKUC
Bachelor of Science in Civil Engineering,MCKUC
Bachelor of Science in Electrical and Electronics Engineering,MCKUC
Bachelor of Science in Mechanical Engineering,MCKUC
Bachelor of Commerce (B.Com),MCKUC
Bachelor of Education (Arts),MCKUC
Bachelor of Education (Science),MCKUC
Bachelor of Economics,MCKUC
Bachelor of Education in Special Education,MCKUC
Bachelor of Education in Early Childhood Education,MCKUC
Bachelor of Economics & Statistics,MCKUC
Bachelor of Science in Fashion Design and Marketing,MCKUC
Bachelor of Science (Hospitality and Tourism Management),MCKUC
Bachelor of Environmental Studies (Community Development),MCKUC
Bachelor of Science (Information Technology),MCKUC
Bachelor of Science in Agribusiness Management and Trade,MCKUC
Bachelor of Science (Maths and Computer Science),MCKUC
Bachelor of Science in Community Resource Management,MCKUC
Bachelor of Agricultural Education and Extension,MCKUC
Bachelor of Economics and Finance,MCKUC
Bachelor of Population Health,MCKUC
Bachelor of Science in Statistics and Programming,MCKUC
Bachelor of Environmental Studies (Community Resource Conservation),MCKUC
Bachelor of Commerce,KAFUCO
Bachelor of Education (Arts),KAFUCO
Bachelor of Criminology,KAFUCO
Bachelor of Education (Science),KAFUCO
Bachelor of Social Work,KAFUCO
Bachelor of Science in Economics,KAFUCO
"Bachelor of Science (Applied Statistics, With IT)",KAFUCO
Bachelor of Science (Agricultural Economics and Resource Management),KAFUCO
Bachelor of Science in Information Technology,KAFUCO
Bachelor of Education (French),KAFUCO
Bachelor of Science in Mathematics and Computer Science,KAFUCO
"Bachelor of Science (Mathematics & Economics, With IT",KAFUCO
Bachelor of Disaster Management & International Diplomacy,KAFUCO
Bachelor in Business Administration,AIU
Bachelor of Arts in Development Studies,AIU
Bachelor of Arts in Counseling Psychology,AIU
Bachelor of Theology,AIU
Bachelor of Science (Computer Science),ANU
Bachelor of Commerce (B.Com),ANU
Bachelor of Laws (LLB),ANU
Bachelor of Criminology,ANU
Bachelor of Business Management,ANU
Bachelor of Education in Special Education,ANU
Bachelor of Arts (Community Development),ANU
Bachelor of Mass Communication,ANU
Bachelor of Business Information Technology,ANU
Bachelor of Procurement and Supply Chain Management,ANU
Bachelor of Arts (Counselling Psychology),ANU
Bachelor of Science (Natural Resource Management),ANU
Bachelor of Arts in Religion,ANU
Bachelor of Arts (Religious Studies),ANU
Bachelor of Arts (Peace Education,ANU
Bachelor of Education (Early Childhood and Primary Education),ANU
Diploma in Agriculture,ANU
Diploma in Supply Chain Management,ANU
Diploma in Business Administration/management,ANU
Diploma in Information & Communication Technology,ANU
Diploma in Counselling Psychology,ANU
Diploma in Community Development,ANU
Diploma in Public Relations,ANU
Diploma in Information Technology,ANU
Bachelor of Education (Early Childhood),ANU
Diploma in Early Childhood Development,ANU
Bachelor of Science in Mathematics,BARA
Bachelor of Science in Biology,BARA
Bachelor of Science in Agriculture,BARA
